,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,Y
ConsecutivoPuente,NombrePuente,Provincia,Canton,Distrito,Encargado,Ruta,Kilometro,Longitud,TipoPuente,AlturaLibreVerticalInferior,Calzada,ClasificacionRuta,H1,H2,H3,H4,H5,H6,H7,LatitudTotalGPS,LongitudTotalGPS,TipoPavimento,NoDeSuperestructuras,NoDeSubestructuras,NoTramos,AnchoTotal,W1,W2,W3,W4,W5,W6,W7,NoSuperestructura,TipoViga,AlturaViga,NoElementosPrincipales,AlineacionPlanta,TramoMaximo,TipoEstructura,Superestructura,LongitudTotal,PrioridadReparacion
1007,Nombre X,5,3,5,13,155,15.44999981,29.10000038,1,2.099999905,1.549999952,2,0,0,0,0,0,0.230000004,0.720000029,10.36010551,-85.70482635,3,3,4,3,1.909999967,0,0,0,0,1.549999952,0,0.360000014,3,6,0.649999976,2,2,9.699999809,2,1,9.699999809,31.99
1008,Nombre X,5,3,5,13,155,15.44999981,29.10000038,1,2.099999905,1.549999952,2,0.720000029,0.230000004,0,0,0,0,0,10.36010551,-85.70482635,3,3,4,3,1.909999967,0.360000014,0,1.549999952,0,0,0,0,1,3,0.649999976,2,2,9.699999809,2,1,9.699999809,31.99
1008,Nombre X,5,3,5,13,155,15.44999981,29.10000038,1,2.099999905,1.549999952,2,0.720000029,0.230000004,0,0,0,0,0,10.36010551,-85.70482635,3,3,4,3,1.909999967,0.360000014,0,1.549999952,0,0,0,0,2,6,0.649999976,2,2,9.699999809,2,1,9.699999809,31.99
1008,Nombre X,5,3,5,13,155,15.44999981,29.10000038,1,2.099999905,1.549999952,2,0.720000029,0.230000004,0,0,0,0,0,10.36010551,-85.70482635,3,3,4,3,1.909999967,0.360000014,0,1.549999952,0,0,0,0,3,6,0.649999976,2,2,9.699999809,2,1,9.699999809,31.99
1012,Nombre X,5,5,4,13,155,9.135000229,25.20000076,1,5,1.549999952,2,0,0,0,0,0,0.230000004,0.670000017,10.36313629,-85.64842987,3,3,4,3,1.929999948,0,0,0,0,1.549999952,0,0.379999995,1,3,0.649999976,2,1,7.599999905,2,1,7.599999905,33.04
1012,Nombre X,5,5,4,13,155,9.135000229,25.20000076,1,5,1.549999952,2,0,0,0,0,0,0.230000004,0.670000017,10.36313629,-85.64842987,3,3,4,3,1.929999948,0,0,0,0,1.549999952,0,0.379999995,2,3,0.649999976,2,1,10,2,1,10,33.04
1012,Nombre X,5,5,4,13,155,9.135000229,25.20000076,1,5,1.549999952,2,0,0,0,0,0,0.230000004,0.670000017,10.36313629,-85.64842987,3,3,4,3,1.929999948,0,0,0,0,1.549999952,0,0.379999995,3,3,0.649999976,2,1,7.599999905,2,1,7.599999905,31.85
1013,Nombre X,5,5,4,13,155,9.135000229,25.20000076,1,5,1.549999952,2,0.670000017,0.230000004,0,0,0,0,0,10.36313629,-85.64842987,3,3,4,3,1.929999948,0.379999995,0,1.549999952,0,0,0,0,1,3,0.649999976,2,1,7.599999905,2,1,7.599999905,33.04
1013,Nombre X,5,5,4,13,155,9.135000229,25.20000076,1,5,1.549999952,2,0.670000017,0.230000004,0,0,0,0,0,10.36313629,-85.64842987,3,3,4,3,1.929999948,0.379999995,0,1.549999952,0,0,0,0,3,3,0.649999976,2,1,7.599999905,2,1,7.599999905,33.04
1013,Nombre X,5,5,4,13,155,9.135000229,25.20000076,1,5,1.549999952,2,0.670000017,0.230000004,0,0,0,0,0,10.36313629,-85.64842987,3,3,4,3,1.929999948,0.379999995,0,1.549999952,0,0,0,0,2,3,0.649999976,2,1,10,2,1,10,31.85
1015,Nombre X,5,3,5,13,155,13.97500038,30.10000038,1,3,1.549999952,2,0,0,0,0,0,0.230000004,0.699999988,10.36359787,-85.69179535,1,3,4,3,1.929999948,0,0,0,0,1.549999952,0,0.379999995,2,6,0.649999976,2,2,9.800000191,2,1,9.800000191,31.95
